color,dimension,gpt
black,active-passive,5.38
black,alive-dead,7.0
black,calm-angry,3.0
black,clean-dirty,4.0
black,cold-hot,1.0
black,exciting-dull,5.0
black,fast-slow,4.0
black,fresh-stale,5.0
black,happy-sad,5.0
black,high-low,4.0
black,light-heavy,7.0
black,like-dislike,4.81
black,new-old,4.12
black,relaxed-tense,3.69
black,ripe-unripe,5.0
black,selfless-jealous,4.0
black,soft-hard,4.44
black,submissive-aggressive,5.0
blue,active-passive,4.56
blue,alive-dead,4.0
blue,calm-angry,1.44
blue,clean-dirty,1.0
blue,cold-hot,1.06
blue,exciting-dull,4.0
blue,fast-slow,4.0
blue,fresh-stale,1.75
blue,happy-sad,4.0
blue,high-low,4.0
blue,light-heavy,3.0
blue,like-dislike,4.19
blue,new-old,4.0
blue,relaxed-tense,2.19
blue,ripe-unripe,5.0
blue,selfless-jealous,4.0
blue,soft-hard,4.0
blue,submissive-aggressive,3.12
brown,active-passive,5.0
brown,alive-dead,4.0
brown,calm-angry,3.0
brown,clean-dirty,5.0
brown,cold-hot,5.0
brown,exciting-dull,5.0
brown,fast-slow,4.0
brown,fresh-stale,5.0
brown,happy-sad,4.0
brown,high-low,4.0
brown,light-heavy,5.0
brown,like-dislike,4.38
brown,new-old,4.81
brown,relaxed-tense,2.94
brown,ripe-unripe,2.0
brown,selfless-jealous,4.0
brown,soft-hard,4.0
brown,submissive-aggressive,4.0
green,active-passive,4.44
green,alive-dead,4.0
green,calm-angry,1.56
green,clean-dirty,1.0
green,cold-hot,3.0
green,exciting-dull,4.0
green,fast-slow,4.0
green,fresh-stale,1.0
green,happy-sad,4.0
green,high-low,4.0
green,light-heavy,3.12
green,like-dislike,4.0
green,new-old,4.0
green,relaxed-tense,2.0
green,ripe-unripe,5.0
green,selfless-jealous,4.0
green,soft-hard,4.0
green,submissive-aggressive,3.62
orange,active-passive,3.31
orange,alive-dead,4.0
orange,calm-angry,3.31
orange,clean-dirty,4.0
orange,cold-hot,6.5
orange,exciting-dull,3.0
orange,fast-slow,4.0
orange,fresh-stale,1.88
orange,happy-sad,3.25
orange,high-low,4.0
orange,light-heavy,4.0
orange,like-dislike,4.62
orange,new-old,4.0
orange,relaxed-tense,3.81
orange,ripe-unripe,1.0
orange,selfless-jealous,4.0
orange,soft-hard,4.0
orange,submissive-aggressive,5.0
purple,active-passive,5.0
purple,alive-dead,4.0
purple,calm-angry,3.0
purple,clean-dirty,4.0
purple,cold-hot,3.69
purple,exciting-dull,4.0
purple,fast-slow,4.0
purple,fresh-stale,4.0
purple,happy-sad,4.0
purple,high-low,4.0
purple,light-heavy,4.0
purple,like-dislike,4.06
purple,new-old,4.0
purple,relaxed-tense,2.94
purple,ripe-unripe,4.44
purple,selfless-jealous,4.0
purple,soft-hard,4.0
purple,submissive-aggressive,4.0
red,active-passive,2.0
red,alive-dead,4.0
red,calm-angry,6.0
red,clean-dirty,3.88
red,cold-hot,7.0
red,exciting-dull,1.0
red,fast-slow,3.94
red,fresh-stale,4.0
red,happy-sad,4.0
red,high-low,4.0
red,light-heavy,4.0
red,like-dislike,4.06
red,new-old,4.0
red,relaxed-tense,5.0
red,ripe-unripe,1.0
red,selfless-jealous,4.0
red,soft-hard,4.06
red,submissive-aggressive,6.56
white,active-passive,4.0
white,alive-dead,4.0
white,calm-angry,1.0
white,clean-dirty,1.0
white,cold-hot,1.0
white,exciting-dull,4.12
white,fast-slow,4.0
white,fresh-stale,1.0
white,happy-sad,4.0
white,high-low,4.0
white,light-heavy,1.0
white,like-dislike,4.0
white,new-old,4.0
white,relaxed-tense,2.0
white,ripe-unripe,4.69
white,selfless-jealous,4.0
white,soft-hard,4.0
white,submissive-aggressive,3.44
yellow,active-passive,3.31
yellow,alive-dead,4.0
yellow,calm-angry,2.25
yellow,clean-dirty,1.0
yellow,cold-hot,5.06
yellow,exciting-dull,4.0
yellow,fast-slow,4.0
yellow,fresh-stale,1.0
yellow,happy-sad,2.56
yellow,high-low,4.0
yellow,light-heavy,1.25
yellow,like-dislike,4.0
yellow,new-old,4.0
yellow,relaxed-tense,2.0
yellow,ripe-unripe,1.44
yellow,selfless-jealous,4.0
yellow,soft-hard,4.0
yellow,submissive-aggressive,3.0
